transaction_id,user_id,transaction_date,raw_timestamp,store_id,product_category,sale_amount,price,quantity,region,city,age,subscription,status,email,username,payment_method
522,1076,2025-02-26,2025-02-26 05:35:17,9,Electronics,1728.8,762.98,9,South,Chennai,56,Standard,Completed,patriciaadams@example.net,victorgonzalez,UPI
738,1064,2025-09-17,2025-09-17 12:23:25,10,Sports,2063.39,186.14,9,South,Delhi,27,Standard,Cancelled,lgreen@example.org,wadetiffany,Cash
741,1144,2025-07-27,2025-07-27 00:36:03,2,Clothing,3708.96,1134.9,5,North,Hyderabad,62,Premium,Completed,thomas49@example.net,laurenchandler,UPI
661,1017,2026-04-17,2026-04-17 09:56:12,2,Clothing,1302.27,781.69,6,North,Chennai,33,Standard,Pending,bryan80@example.org,daniel40,Cash
412,1019,2026-01-12,2026-01-12 11:53:56,18,Sports,3774.3,204.52,3,North,Pune,67,Standard,Cancelled,staceylam@example.net,walkerjeffrey,Card
679,1253,2025-07-02,2025-07-02 16:08:01,2,Furniture,1814.77,1423.88,8,West,Chennai,25,Premium,Completed,noahthornton@example.com,dustin60,Card
627,1129,2024-08-17,2024-08-17 09:31:07,2,Electronics,1543.15,40.34,2,North,Kolkata,56,Premium,Cancelled,staylor@example.com,alison83,Cash
514,1140,2025-08-02,2025-08-02 01:29:41,11,Sports,2098.1,435.49,4,North,Bengaluru,54,Premium,Pending,christinacraig@example.com,dianacantrell,UPI
860,1050,2024-12-05,2024-12-05 12:17:32,13,Clothing,1924.23,227.91,2,South,Chennai,64,Standard,Cancelled,estradadavid@example.org,catherinegarcia,Card
137,1078,2025-05-15,2025-05-15 04:34:58,6,Clothing,4165.16,1546.77,3,West,Bengaluru,44,Standard,Cancelled,uross@example.org,ronald45,UPI
812,1221,2026-03-30,2026-03-30 08:31:56,5,Furniture,148.06,775.21,2,East,Mumbai,52,Premium,Cancelled,william56@example.net,shawn00,UPI
