customer_id,customer_name,email,registration_date,customer_type
1,Tony Miller,christopher33@example.com,2026-05-02,REGULAR
2,Leonard Warren,igriffin@example.net,2026-05-06,REGULAR
3,Donna Reese,benjaminramos@example.org,2025-02-02,PREMIUM
4,Sharon Morrison,timothytaylor@example.com,2025-03-09,REGULAR
5,Debra Singh,jhenderson@example.com,2024-04-07,VIP
6,Ralph Meadows,ericholmes@example.org,2024-06-20,PREMIUM
7,Vanessa Stewart,csingleton@example.org,2024-11-22,PREMIUM
8,Jacqueline Miller,troylin@example.org,2025-04-26,PREMIUM
9,Kenneth Lynch,harriswilliam@example.org,2025-09-09,PREMIUM
10,Richard Gonzalez,sabrinasmith@example.org,2024-12-15,PREMIUM
11,Anne Carter,dannygibbs@example.com,2024-11-06,PREMIUM
12,Kyle Gonzalez,patrick59@example.com,2025-11-09,PREMIUM
13,Angel Keller,nicole70@example.net,2026-02-10,PREMIUM
14,Shannon Payne,gbishop@example.com,2024-10-20,REGULAR
15,Amanda Meza,deborahhobbs@example.com,2025-01-25,VIP
16,Angela Simmons,santiagolindsay@example.net,2024-01-31,REGULAR
17,Rachel Nash,sbarajas@example.com,2023-09-10,VIP
18,Katie Brown,david27@example.net,2024-06-25,PREMIUM
19,Craig Sanders,dennis17@example.net,2024-06-24,VIP
20,Melissa Williams,ramirezgary@example.com,2025-09-02,VIP
21,Erin Mendez,gward@example.net,2025-05-24,PREMIUM
22,Ebony Garcia,webbwillie@example.com,2025-02-14,VIP
23,Jessica Lynch,sandrabutler@example.net,2025-03-13,PREMIUM
24,Tracie Davis,lisacurry@example.com,2024-05-09,PREMIUM
25,Antonio Higgins,davisterri@example.net,2025-06-27,PREMIUM
26,Russell Guzman,emilyhowe@example.com,2025-06-01,VIP
27,Sabrina Mcmillan,lindsayaguilar@example.net,2024-01-15,REGULAR
28,Jonathan Dickerson,grantmegan@example.org,2023-09-04,PREMIUM
29,Jonathan Lewis,barnesjudy@example.com,2025-09-04,REGULAR
30,Emily Mitchell,hschmidt@example.org,2026-03-25,PREMIUM
31,Danielle Anderson,philipmatthews@example.net,2024-01-13,REGULAR
32,Emily Smith,adam09@example.com,2023-09-26,PREMIUM
33,Stephanie Moody,mark91@example.org,2025-03-05,PREMIUM
34,Kyle Johnson,shawn97@example.org,2026-01-31,VIP
35,Mary Martin,grobinson@example.com,2025-09-10,PREMIUM
36,Victor Patel,aguerra@example.net,2026-06-02,VIP
37,Donna Gutierrez,gpotter@example.com,2025-07-11,PREMIUM
38,Taylor Wilson,bmann@example.net,2024-12-28,PREMIUM
39,Jill Little,krichard@example.net,2026-03-21,VIP
40,Julian Aguilar,gonzalezerika@example.net,2025-06-16,PREMIUM
41,Ricardo Ramos,david73@example.net,2026-07-07,REGULAR
42,Jason Schneider,gflores@example.org,2025-12-10,REGULAR
43,Eileen Oconnor,andrewdavidson@example.com,2024-01-20,VIP
44,John Brown,yduncan@example.net,2025-07-09,VIP
45,Andrew Robertson,jerryedwards@example.com,2024-06-19,PREMIUM
46,Kevin Nguyen,dianestark@example.org,2025-06-25,REGULAR
47,Chase James,erika07@example.com,2024-11-20,PREMIUM
48,Natasha King,scottwilson@example.org,2024-01-22,PREMIUM
49,Maria Bowman,townsendwilliam@example.net,2026-06-22,PREMIUM
50,Jason Riddle,stevenmccormick@example.net,2025-12-06,REGULAR
51,Antonio Peters,ytate@example.org,2025-09-21,REGULAR
52,Paul Miller,michaeljohnson@example.com,2025-09-05,PREMIUM
53,James Williams,deborahreese@example.com,2025-11-07,VIP
54,Michelle Friedman,rrollins@example.com,2025-01-08,REGULAR
55,Rachel Lewis,daniellemeyer@example.com,2025-11-15,VIP
