customer_id,customer_name,email,registration_date,customer_type
1,Chloe Garrett,robertcraig@example.net,2025-11-12,PREMIUM
2,Haley Collins,larry29@example.net,2025-07-05,REGULAR
3,David Gonzalez,johnjackson@example.com,2025-04-15,PREMIUM
4,Nichole Glenn,andersoncrystal@example.net,2024-12-21,VIP
5,Brian Gillespie,sharonwashington@example.org,2025-11-14,REGULAR
6,Michelle Wilson,paulamber@example.org,2026-06-15,PREMIUM
7,Kimberly Garza,gina23@example.org,2026-06-01,VIP
8,Ashley Burke,lisawatkins@example.com,2023-09-22,REGULAR
9,Austin Spence,fuentesnatalie@example.com,2026-02-12,PREMIUM
10,Bruce Boyd,gwalker@example.org,2025-11-14,PREMIUM
11,Cory Smith,kennedynathan@example.net,2025-06-15,VIP
12,Michelle Roth,bguerrero@example.net,2023-12-09,REGULAR
13,Sarah Murray,olivernichole@example.net,2026-05-04,VIP
14,Madeline Young,walterschristopher@example.com,2024-11-20,PREMIUM
15,Kathleen Franco,amygray@example.org,2024-06-06,REGULAR
16,Christopher Gonzales,dyerjacob@example.com,2023-11-10,REGULAR
17,William Kennedy,ericwilson@example.com,2024-04-11,VIP
18,Kathy Sullivan,frederick45@example.net,2023-10-13,PREMIUM
19,Andrew Smith,tylerreed@example.com,2023-11-21,REGULAR
20,Maria Singh,mwhitney@example.com,2024-04-02,PREMIUM
21,Lisa Stone,herreracaleb@example.net,2024-05-11,PREMIUM
22,Crystal Stephens,tthompson@example.org,2023-08-02,PREMIUM
23,Elizabeth Smith,masontaylor@example.com,2024-01-27,VIP
24,Carol Banks,eluna@example.com,2024-04-23,PREMIUM
25,Julie Thomas,cindy88@example.net,2026-06-15,REGULAR
26,Sarah Kelley,elizabeth79@example.net,2024-08-06,REGULAR
27,Jean Allen,iperkins@example.net,2023-12-14,PREMIUM
28,Drew Walter,buckleyabigail@example.org,2025-07-20,VIP
29,Alison Stephenson,james15@example.com,2023-12-26,PREMIUM
30,Jeremiah Humphrey,qwarren@example.net,2026-03-26,REGULAR
31,Jody Baker,johnathan54@example.net,2024-11-24,REGULAR
32,Daniel Perkins,bonniechase@example.net,2025-12-22,VIP
33,Sue Harper,phernandez@example.net,2026-03-30,REGULAR
34,Mrs. Jennifer Green,melissajohnson@example.com,2025-10-31,REGULAR
35,Joseph Morris,watsontyler@example.com,2026-01-23,REGULAR
36,Reginald Gutierrez,brownmichele@example.org,2024-06-26,VIP
37,Kylie Lowe,fmiranda@example.com,2026-04-02,PREMIUM
38,Alison Nielsen,jennifer84@example.com,2025-12-18,REGULAR
39,Rodney Davis,hoeric@example.org,2025-08-01,VIP
40,Daryl Miller,kingtyler@example.com,2023-09-02,VIP
41,Jennifer Flores,latoya25@example.net,2024-11-15,VIP
42,Christopher Stanley,nancy79@example.com,2025-09-08,VIP
43,Jennifer Smith,shelleytaylor@example.org,2026-07-07,VIP
44,Ronald Williams,christopher97@example.org,2025-08-15,REGULAR
45,Alicia Johnson,osantos@example.org,2025-07-04,PREMIUM
46,Amber West,vduffy@example.com,2025-06-07,PREMIUM
47,Dylan Pham,ygoodwin@example.net,2023-08-09,PREMIUM
48,Anthony Hebert,phines@example.com,2025-01-19,PREMIUM
49,Rachel Perez,nicolassolomon@example.net,2026-03-17,PREMIUM
50,Stephen Jones,michaeljennings@example.net,2025-03-08,PREMIUM
51,Ashley Smith,whitecraig@example.net,2024-01-10,PREMIUM
52,Angela Collins,sandra18@example.net,2026-01-04,VIP
53,Karen Flowers,wharris@example.org,2024-02-20,REGULAR
54,Rebecca Collins,davidsonmichael@example.net,2025-02-18,VIP
55,Brian Daniels,derek31@example.net,2026-01-08,REGULAR
56,Jamie Fernandez,hooverkrista@example.net,2026-03-09,REGULAR
57,Jennifer Phillips,donna49@example.net,2025-05-06,REGULAR
58,Emily Hoffman,robinsonrobert@example.com,2024-12-31,VIP
59,Eric Cole,julie73@example.org,2024-08-07,PREMIUM
60,Jasmine Davis,sarah54@example.com,2024-12-21,PREMIUM
61,James Hughes,murraychristopher@example.org,2023-11-06,PREMIUM
62,Mallory Underwood,mikedavis@example.com,2024-01-03,PREMIUM
63,Ryan Lee,epatel@example.org,2024-07-06,PREMIUM
64,Michael Holt,joshua41@example.com,2025-10-10,PREMIUM
65,Matthew Fry,mileslaura@example.org,2026-02-05,REGULAR
66,Stephanie Wall,sheilamoore@example.org,2025-09-28,REGULAR
67,Kimberly Stokes,xpratt@example.com,2024-07-07,REGULAR
68,Daniel Harper,fordhollyexample.com,2026-02-20,REGULAR
69,Sandra Lutz,johnstuart@example.com,2024-11-19,REGULAR
70,Ricardo Robinson,john15@example.net,2026-06-01,REGULAR
71,Sara Chandler,jacob21@example.net,2025-11-25,VIP
72,Sylvia Parker,john44@example.com,2025-01-22,PREMIUM
73,Shirley Riley,angeladavis@example.net,2023-12-05,REGULAR
74,Evelyn Weiss,robert25@example.org,2025-04-27,PREMIUM
75,Alexis Harrison,pbowers@example.net,2026-02-08,PREMIUM
76,Benjamin Baldwin,nallen@example.net,2024-05-08,PREMIUM
77,Casey Simon,bwalker@example.net,2023-08-07,REGULAR
78,Shannon Martinez,jonmurray@example.org,2025-02-28,REGULAR
79,Stephen Compton,amandawilliams@example.net,2025-02-14,VIP
80,Lisa Rojas,michael37@example.org,2025-01-28,REGULAR
81,Mr. William Mayer,nhuber@example.com,2026-02-05,VIP
82,Kenneth Hawkins,tuckerbrett@example.org,2026-06-12,VIP
83,Kimberly Flores,kayla82@example.net,2025-02-07,VIP
84,Erica Roberts,cody15@example.org,2024-05-19,REGULAR
85,Vanessa Padilla,xcollins@example.net,2025-02-15,REGULAR
86,Jacob Benson,sramirez@example.com,2023-11-20,VIP
87,Erica James,lblack@example.com,2024-10-13,VIP
88,Todd Nelson,kimberly56@example.net,2023-09-03,VIP
89,Daniel Robles,jasmine05@example.com,2025-09-23,REGULAR
90,Virginia Moon,jamesbeard@example.org,2026-03-12,VIP
91,Mark Anderson,bwilliams@example.com,2023-12-21,PREMIUM
92,Amber Davis,ymeyer@example.org,2025-07-16,VIP
93,Amy Osborn,teresacarpenter@example.com,2023-12-27,VIP
94,Tracy Sanford,lucasgrace@example.org,2025-06-27,PREMIUM
95,Michael Collier,ckaiser@example.net,2025-03-28,VIP
96,Jessica Boyer,lsmith@example.net,2026-03-07,PREMIUM
97,Anthony Morales,umccann@example.org,2025-10-15,VIP
98,Marissa Tucker,harveyelijah@example.com,2026-03-27,PREMIUM
99,Kevin Taylor,carolynrichards@example.com,2025-08-24,VIP
100,Johnathan Armstrong,pford@example.net,2026-06-25,REGULAR
101,Lauren Key,grahamgregory@example.org,2026-03-02,PREMIUM
102,Victoria Phelps,amandaturner@example.net,2025-12-12,PREMIUM
103,Joseph Myers,iwalsh@example.org,2024-04-22,PREMIUM
104,David Frazier,rachelharris@example.org,2025-02-11,PREMIUM
105,Jessica Gallegos,april62@example.net,2024-09-26,VIP
106,Ariel Ortega,andre63@example.net,2023-12-26,PREMIUM
107,Sean Banks,travisrichardson@example.net,2024-01-06,PREMIUM
108,Christopher Nixon,steven77@example.org,2025-12-04,VIP
109,Kevin Davis,shannon63@example.org,2024-10-19,VIP
110,Kayla Flores,whuber@example.org,2026-03-08,VIP
111,Lisa Matthews,andrew37@example.com,2024-06-05,PREMIUM
112,Jeffrey Lawrence,scott72@example.org,2025-10-11,REGULAR
113,Charles Cobb,pottsrussell@example.org,2026-03-31,VIP
114,Leon Lee,lball@example.com,2024-07-03,VIP
115,Mr. Evan Mejia,kellyjones@example.net,2025-08-10,VIP
116,Dennis Johnson,rmyers@example.net,2024-04-27,REGULAR
117,Michael Huff,rhayes@example.net,2023-08-09,VIP
118,Michael Williams,mistyhale@example.net,2026-03-18,PREMIUM
119,Christy Terrell,jose55@example.org,2024-01-09,PREMIUM
120,Jenna Reed,stephensjason@example.com,2023-09-24,PREMIUM
121,Shannon Brown,conleysamuel@example.org,2025-06-26,PREMIUM
122,Cheryl Jackson,susansmith@example.org,2024-09-22,PREMIUM
123,Dr. Mary Larson,desireemoore@example.net,2025-12-17,VIP
124,Chad Owens,montescarol@example.net,2023-09-24,PREMIUM
125,Martha Shaw,gloria34@example.com,2023-09-21,VIP
126,Melissa Mendez,flee@example.org,2024-08-25,REGULAR
127,Leah Schultz,leewatson@example.org,2024-08-15,VIP
128,Jessica Johnson,michelleking@example.net,2024-08-25,VIP
129,Mary Turner,christopherday@example.org,2024-02-15,PREMIUM
130,Jennifer Jimenez,eflores@example.net,2025-10-03,PREMIUM
131,Bonnie Petty,grobbins@example.org,2024-09-16,VIP
132,Thomas Houston,lambertkatie@example.net,2026-05-10,REGULAR
133,Jonathan Owens,stephanie92@example.com,2024-07-31,REGULAR
134,Amy Wright,santiagopaige@example.org,2024-07-25,REGULAR
135,Lauren Sharp,melissadawson@example.org,2026-02-19,VIP
136,Jason Brown,belljennifer@example.com,2024-08-19,REGULAR
137,James Martin,tristanwilson@example.org,2024-03-17,PREMIUM
138,Lisa Davis,tiffany98@example.com,2026-06-30,VIP
139,Amy Lawrence,pdonovan@example.org,2025-10-18,PREMIUM
140,Sharon Moore,andersonmichelle@example.org,2025-03-28,REGULAR
141,Patrick Davis,mrodriguez@example.org,2025-11-23,PREMIUM
142,Kathleen Kennedy,lbennett@example.org,2024-03-15,REGULAR
143,Carolyn Howard,qthomas@example.org,2023-08-06,REGULAR
